303684336,00025,30368433600025,O,,,,,,true,1,,,,RUE,DU PONT LOUIS PHILIPPE,75004,PARIS 4,,,75104,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,59.10,NAP,N
303684351,00016,30368435100016,O,1974-01-01,,,,2014-02-20T03:33:18,true,1,,,,,BOURG,72610,ANCINNES,,,72005,,,,,,,,,,,,,,,,,,,2000-06-30,F,,,,,74.1J,NAF1993,N
303684369,00018,30368436900018,O,,NN,,,,true,1,,18,,CHE,DU PONT ALBERTIN,73200,ALBERTVILLE,,,73011,,,,,,,,,,,,,,,,,,,,F,,,,,65.06,NAP,N
303684377,00011,30368437700011,O,,NN,,,2019-11-14T14:00:56,true,1,,15,,RUE,DE CHAMBERY,73100,AIX-LES-BAINS,,,73008,,,,,,,,,,,,,,,,,,,1994-06-30,F,,,,,52.7A,NAF1993,N
303684393,00026,30368439300026,O,,,,,,true,1,,,,AV,D ALBIGNY,74000,ANNECY,,,74010,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,55.73,NAP,N
303684443,00011,30368444300011,O,,,,,2019-11-14T14:00:56,true,1,,38,,AV,VICTORIA,73100,AIX-LES-BAINS,,,73008,,,,,,,,,,,,,,,,,,,,F,,,,,64.49,NAP,N
303684468,00018,30368446800018,O,,,,,2019-01-14T13:40:56,true,1,,,,,MOULIN DE CARBONNEL,72130,FRESNAY-SUR-SARTHE,,,72138,,,,,,,,,,,,,,,,,,,,F,,,,,64.25,NAP,N
303684500,00026,30368450000026,O,,,,,2019-11-14T14:00:56,true,1,,76,,RUE,DE GENEVE,73100,AIX-LES-BAINS,,,73008,,,,,,,,,,,,,,,,,,,,F,,,,,64.44,NAP,N
303684518,00044,30368451800044,O,1994-06-01,NN,,,2008-01-04T19:26:35,true,3,,,,,RAMBOLS,48100,BOURGS SUR COLAGNE,,,48099,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,01.42Z,NAFRev2,N
303684526,00013,30368452600013,O,,,,,,true,1,,142,,BD,VINCENT AURIOL,75013,PARIS 13,,,75113,,,,,,,,,,,,,,,,,,,,F,,,,,62.11,NAP,N
303684542,00036,30368454200036,O,,,,,,true,1,,243,,RUE,DU FBG ST ANTOINE,75011,PARIS 11,,,75111,,,,,,,,,,,,,,,,,,,,F,,,,,64.21,NAP,N
303684567,00017,30368456700017,O,,,,,,true,1,,,,RUE,BEAUREPAIRE,59150,WATTRELOS,,,59650,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.04,NAP,N
303684591,00017,30368459100017,O,,,,,,true,1,,22,,RUE,EUGENE VARLIN,75010,PARIS 10,,,75110,,,,,,,,,,,,,,,,,,,1994-05-31,F,,,,,93.0N,NAF1993,N
