304817505,00015,30481750500015,O,,NN,,,2019-11-14T14:00:18,true,1,,,,,,12300,ALMONT-LES-JUNIES,,,12004,,,,,,,,,,,,,,,,,,,1986-08-17,F,,,,,97.23,NAP,N
304817513,00019,30481751300019,O,,NN,,,,true,1,,19,,PL,SAINT MARTIAL,16000,ANGOULEME,,,16015,,,,,,,,,,,,,,,,,,,1997-10-27,F,,,,,52.3E,NAF1993,O
304817521,00012,30481752100012,O,1900-01-01,NN,,,2007-01-18T09:11:25,true,3,,,,,LA MORLIERE,79340,VASLES,,,79339,,,,,,,,,,,,,,,,,,,1996-12-25,F,,,,,01.1A,NAF1993,N
304817547,00033,30481754700033,O,1989-06-20,,,,,true,4,,15,,RUE,ESTELLE,13001,MARSEILLE 1,,,13201,,,,,,,,,,,,,,,,,,,2000-01-10,F,,,,,45.4M,NAF1993,N
304817554,00013,30481755400013,O,1900-01-01,NN,,,2019-11-14T14:00:19,true,6,POLE D'ACT AIX EN PCE BP 1,420,,RUE,GEORGES CLAUDE,13290,AIX-EN-PROVENCE,,,13001,13795,AIX EN PROVENCE CEDEX 3,,,,,,,,,,,,,,,,,2013-11-29,F,,,,,41.20B,NAFRev2,O
304817554,00021,30481755400021,O,1997-01-01,NN,,,2013-12-09T03:55:56,false,4,LOT ST COLOME,,,,LA VILLE,84120,PERTUIS,,,84089,,,,,,,,,,,,,,,,,,,2013-11-29,F,,,,,42.11Z,NAFRev2,N
304817554,00039,30481755400039,O,2000-12-01,NN,,,2012-10-09T03:42:11,false,4,,,,,LA VILLE,04200,SISTERON,,,04209,,,,,,,,,,,,,,,,,,,2010-12-31,F,,,,,42.11Z,NAFRev2,N
304817588,00011,30481758800011,O,,NN,,,2019-11-14T14:00:17,true,1,,19,,RTE,NATIONALE,10140,VENDEUVRE-SUR-BARSE,,,10401,,,,,,,,,,,,,,,,,,,1987-12-25,F,,,,,67.06,NAP,N
304817596,00014,30481759600014,O,,NN,,,2006-11-25T09:18:09,true,1,,,,,MAIRIE,27270,MESNIL-EN-OUCHE,,,27049,,,,,,,,,,,,,,,,,,,,F,,,,,86.07,NAP,N
304817604,00016,30481760400016,O,,NN,,,2019-11-14T14:00:15,true,1,,,,ALL,DES MIMOSAS,06210,MANDELIEU-LA-NAPOULE,,,06079,,,,,,,,,,,,,,,,,,,,F,,,,,55.73,NAP,N
304817620,00012,30481762000012,O,,NN,,,,true,1,,14,,RUE,PASTORELLI,06000,NICE,,,06088,,,,,,,,,,,,,,,,,,,1993-03-31,F,,,,,52.4T,NAF1993,N
304817646,00017,30481764600017,O,,NN,,,2006-11-25T09:18:09,true,1,,,,,,12220,VALZERGUES,,,12289,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,97.23,NAP,N
304817661,00016,30481766100016,O,,,,,2019-11-14T14:00:24,true,1,,,,,,22150,SAINT-CARREUC,,,22281,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,40.37,NAP,N
304817711,00019,30481771100019,O,1975-01-01,NN,,,,true,4,ZONE INDUSTRIELLE,2,,RUE,DU JARDIN,22100,QUEVERT,,,22259,,,,,,,,,,,,,,,,,,,2002-10-07,F,,,,,31.1C,NAF1993,O
