304163751,00056,30416375100056,O,1974-05-27,NN,,,2018-09-29T12:10:39,false,5,COEUR LA DEFENSE 4  TOUR B,100,,ESP,DU GENERAL DE GAULLE,92400,COURBEVOIE,,,92026,92932,PARIS LA DEFENSE CEDEX,,,,,,,,,,,,,,,,,2016-06-09,F,,,,,68.20B,NAFRev2,O
304163751,00064,30416375100064,O,2016-06-09,NN,,,2020-04-15T03:50:01,true,1,- TOUR MAJUNGA - LA DEFENSE 9 -,6,,PL,DE LA PYRAMIDE,92800,PUTEAUX,,,92062,,,,,,,,,,,,,,,,,,,2016-06-09,A,,,,,68.20B,NAFRev2,O
304163769,00017,30416376900017,O,,,,,,true,1,,,,RUE,DE LA CERISAIE,75004,PARIS 4,,,75104,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,51.10,NAP,N
304163801,00034,30416380100034,O,1900-01-01,NN,,,2019-11-14T14:01:05,true,4,,12,,RUE,D ALSACE,92300,LEVALLOIS-PERRET,,,92044,,,,,,,,,,,,,,,,,,,1991-12-25,F,,,,,77.01,NAP,N
304163827,00013,30416382700013,O,1900-01-01,NN,,,2008-01-04T19:28:44,true,3,,83,,AV,LA GRANDE ARMEE,75116,PARIS 16,,,75116,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20A,NAFRev2,N
304163835,00016,30416383500016,O,,NN,,,,true,1,,149,,RUE,DE LONGCHAMP,75116,PARIS 16,,,75116,,,,,,,,,,,,,,,,,,,,F,,,,,77.14,NAP,N
304163850,00023,30416385000023,O,1984-11-01,,,,,false,4,,59,,RUE,DES FRANCS BOURGEOIS,75004,PARIS 4,,,75104,,,,,,,,,,,,,,,,,,,1992-04-01,F,,,,,52.4Z,NAF1993,N
304163850,00049,30416385000049,O,1986-04-21,,,,2019-11-14T14:01:05,false,4,,10,,BD,DU GENERAL GIRAUD,94100,SAINT-MAUR-DES-FOSSES,,,94068,,,,,,,,,,,,,,,,,,,1993-12-02,F,,,,,52.4Z,NAF1993,N
304163850,00056,30416385000056,O,1992-04-01,,,,,false,3,,6,,RUE,JACQUES COEUR,75004,PARIS 4,,,75104,,,,,,,,,,,,,,,,,,,1992-12-25,F,,,,,52.4Z,NAF1993,N
304163850,00064,30416385000064,O,1992-10-29,,,,2008-11-07T00:19:47,true,4,,37,,BD,BOURDON,75004,PARIS 4,,,75104,,,,,,,,,,,,,,,,,,,1996-10-28,F,,,,,52.4Z,NAF1993,N
