304741945,00014,30474194500014,O,,NN,,,,true,1,,57,,RUE,SANS PAVE,59560,COMINES,,,59152,,,,,,,,,,,,,,,,,,,1994-06-30,F,,,,,74.7Z,NAF1993,N
304741994,00012,30474199400012,O,,,,,,true,1,,93,,AV,JEAN JAURES,59220,DENAIN,,,59172,,,,,,,,,,,,,,,,,,,1987-11-30,F,,,,,64.30,NAP,N
304742018,00043,30474201800043,O,,,,,,true,1,,4,,,GRD PLACE,59100,ROUBAIX,,,59512,,,,,,,,,,,,,,,,,,,1991-12-31,F,,,,,67.04,NAP,N
304742026,00020,30474202600020,O,1981-04-07,NN,,,2019-11-14T14:00:47,true,3,,2,,RUE,LAMENDIN,59293,NEUVILLE-SUR-ESCAUT,,,59429,,,,,,,,,,,,,,,,,,,2004-04-30,F,,,,,45.4C,NAFRev1,N
304742034,00016,30474203400016,O,,,,,2019-11-14T14:00:47,true,1,,197,,AV,LA LIBERATION 2 SEPTEMBRE 1944,59300,AULNOY-LEZ-VALENCIENNES,,,59032,,,,,,,,,,,,,,,,,,,1988-08-22,F,,,,,65.06,NAP,N
304742059,00013,30474205900013,O,1964-01-01,NN,,,2018-03-22T16:20:47,false,5,,15,D,RUE,DE CONDE,59920,QUIEVRECHAIN,,,59484,,,,,,,,,,,,,,,,,,,2018-04-01,F,,,,LA MARQUISETTE 2,10.71D,NAFRev2,N
304742059,00039,30474205900039,O,2018-04-01,,,,2021-02-23T10:36:54,true,1,,19,D,RUE,DE CONDE,59920,QUIEVRECHAIN,,,59484,,,,,,,,,,,,,,,,,,,2018-04-01,A,,,,LA MARQUISETTE 2,10.71D,NAFRev2,N
304742067,00016,30474206700016,O,,NN,,,2019-02-20T11:42:47,true,1,,19,,RUE,DES POSTES,59000,LILLE,,,59350,,,,,,,,,,,,,,,,,,,1987-12-25,F,,,,,64.25,NAP,N
304742091,00024,30474209100024,O,,NN,,,2019-11-14T14:00:45,true,1,,,,,BOURG,56460,SAINT-GUYOMARD,,,56219,,,,,,,,,,,,,,,,,,,1990-02-26,F,,,,,62.11,NAP,N
304742117,00019,30474211700019,O,,,,,,true,1,,,,,CITE DU VERGER,56860,SENE,,,56243,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,69.12,NAP,N
304742133,00016,30474213300016,O,,NN,,,,true,1,,60,,RUE,ARTHUR BRUNET,59220,DENAIN,,,59172,,,,,,,,,,,,,,,,,,,1987-12-31,F,,,,,67.04,NAP,N
304742141,00019,30474214100019,O,,,,,,true,1,,,,RUE,NATIONALE,59380,BERGUES,,,59067,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.24,NAP,N
304742158,00039,30474215800039,O,,NN,,,,true,1,,42,,RUE,DE LA REPUBLIQUE,59540,CAUDRY,,,59139,,,,,,,,,,,,,,,,,,,1997-03-09,F,,,,,44.41,NAP,N
304742182,00013,30474218200013,O,,NN,,,2019-11-14T14:00:47,true,1,,640,,RUE,DELPIERRE,59193,ERQUINGHEM-LYS,,,59202,,,,,,,,,,,,,,,,,,,,F,,,,,55.60,NAP,N
304742190,00032,30474219000032,O,,NN,,,,true,1,,1959,,RUE,BASSE DU MARAIS,62370,RUMINGHEM,,,62730,,,,,,,,,,,,,,,,,,,1996-02-16,F,,,,,51.1E,NAF1993,N
