304233794,00052,30423379400052,O,1996-11-15,,,,,false,3,ZI LES PALUDS,100,,RUE,DES 4 TERMES,13400,AUBAGNE,,,13005,,,,,,,,,,,,,,,,,,,1999-07-31,F,ETIQ'AZUR,,,,21.2L,NAF1993,N
304233794,00060,30423379400060,O,1998-12-21,NN,,,2007-05-19T08:35:36,true,5,LA PIERRE QUI TOURNE,,,RTE,N 3,51480,OEUILLY,,,51410,,,,,,,,,,,,,,,,,,,2005-10-20,F,,,,,21.2L,NAFRev1,N
304233802,00012,30423380200012,O,1982-01-25,NN,,,2006-11-25T09:17:07,false,4,,,,,SANCELLEMOZ,74480,PASSY,,,74208,,,,,,,,,,,,,,,,,,,1996-12-25,F,,,,,85.3H,NAF1993,O
304233802,00020,30423380200020,O,1996-08-27,,,,2007-05-19T08:35:36,true,3,PLATEAU D'ASSY,112,,ALL,DU DOCTEUR SIVRIERE,74480,PASSY,,,74208,,,,,,,,,,,,,,,,,,,2005-10-28,F,,,,,85.3H,NAFRev1,O
304233836,00010,30423383600010,O,,NN,,,,true,1,,22,,RUE,DECOMBEROUSSE,69100,VILLEURBANNE,,,69266,,,,,,,,,,,,,,,,,,,1987-01-01,F,,,,,70.2C,NAF1993,N
304233844,00014,30423384400014,O,,,,,,true,1,,,,RUE,JULES LE GRAND,56100,LORIENT,,,56121,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,,,N
304233851,00019,30423385100019,O,1900-01-01,NN,,,,false,4,,43,B,RUE,DE SAINTE CATHERINE,54120,BACCARAT,,,54039,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,50.1Z,NAF1993,O
304233851,00027,30423385100027,O,1995-05-27,NN,,,2019-11-14T14:01:04,true,4,ZI HELLIEULE IV,,,RUE,PIERRE MENDES FRANCE,88100,SAINT-DIE-DES-VOSGES,,,88413,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
304233851,00035,30423385100035,O,1999-04-01,NN,,,2019-11-14T14:01:04,false,5,,,,,ZI LE PEUXY,88200,SAINT-NABORD,,,88429,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
304233877,00014,30423387700014,O,,NN,,,2019-11-14T14:00:44,true,1,,,,RUE,EMILE CURIQUE,54920,VILLERS-LA-MONTAGNE,,,54575,,,,,,,,,,,,,,,,,,,,F,,,,,38.40,NAP,N
304233885,00017,30423388500017,O,,NN,,,,true,1,,51,,RUE,DOREE,45200,MONTARGIS,,,45208,,,,,,,,,,,,,,,,,,,1983-11-19,F,,,,,64.11,NAP,N
304233893,00029,30423389300029,O,1900-01-01,,,,,true,4,,14,,PAS,ROCHE,93500,PANTIN,,,93055,,,,,,,,,,,,,,,,,,,1992-12-25,F,,,,,21.2B,NAF1993,N
304233901,00012,30423390100012,O,,NN,,,2019-11-14T14:00:38,true,1,,3,,CITE,DE LA RONZE,42650,SAINT-JEAN-BONNEFONDS,,,42237,,,,,,,,,,,,,,,,,,,1988-12-25,F,,,,,87.08,NAP,N
304233919,00014,30423391900014,O,1900-01-01,NN,,,2006-10-27T00:03:14,false,3,,18,,RUE,DE L ANCIEN QUAI,50100,CHERBOURG-EN-COTENTIN,,,50129,,,,,,,,,,,,,,,,,,,2005-07-27,F,,,,,91.2Z,NAFRev1,O
304233919,00022,30423391900022,O,2005-07-27,01,2018,,2020-08-25T10:22:48,true,2,,54,,RUE,DE LA BUCAILLE,50100,CHERBOURG-EN-COTENTIN,,,50129,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,94.20Z,NAFRev2,O
304233927,00017,30423392700017,O,,NN,,,,true,1,,5,,QUAI,DU CDT L HERMINIER,44210,PORNIC,,,44131,,,,,,,,,,,,,,,,,,,,F,,,,,71.01,NAP,N
304233935,00028,30423393500028,O,,,,,,true,1,,,,RUE,PIERRE ET MARIE CURIE,73490,LA RAVOIRE,,,73213,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,58.09,NAP,N
304233943,00014,30423394300014,O,,NN,,,,true,1,,18,,BD,DE GRENELLE,75015,PARIS 15,,,75115,,,,,,,,,,,,,,,,,,,,F,,,,,60.11,NAP,N
304233968,00037,30423396800037,O,1985-03-01,NN,,,,true,4,,38,,RUE,AUGUSTE COMTE,87280,LIMOGES,,,87085,,,,,,,,,,,,,,,,,,,1993-02-15,F,,,,,74.8K,NAF1993,N
304233976,00014,30423397600014,O,,NN,,,2019-11-14T14:00:39,true,1,,,,LD,NAUDOU,46240,CANIAC-DU-CAUSSE,,,46054,,,,,,,,,,,,,,,,,,,,F,,,,,51.11,NAP,N
304233992,00011,30423399200011,O,,NN,,,2019-11-14T14:00:39,true,1,,,,,,46250,FRAYSSINET-LE-GELAT,,,46114,,,,,,,,,,,,,,,,,,,,F,,,,,65.06,NAP,N
304234008,00015,30423400800015,O,1900-01-01,NN,,,2006-11-25T09:17:07,true,4,,62,,RUE,DE LA BOURIE ROUGE,45000,ORLEANS,,,45234,,,,,,,,,,,,,,,,,,,1991-12-31,F,,,,,97.23,NAP,N
304234016,00018,30423401600018,O,1900-01-01,NN,,,,false,3,,1,,BD,DE LA CROIX BLANCHE,44650,LEGE,,,44081,,,,,,,,,,,,,,,,,,,2003-12-09,F,,,,,15.1A,NAFRev1,N
304234016,00042,30423401600042,O,1900-01-01,00,2019,,2021-10-27T08:15:04,true,5,ABATTOIR,,,BD,DU BOIS DU BREUIL,85300,CHALLANS,,BP 459,85047,,,,,,,,,,,,,,,,,,,2019-01-15,A,,,,,10.11Z,NAFRev2,N
304234016,00083,30423401600083,O,1987-12-31,NN,,,2008-01-04T19:29:07,false,3,,,,,LA CROIX BLANCHE,44650,LEGE,,,44081,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,01.41Z,NAFRev2,N
304234016,00091,30423401600091,O,2005-01-01,NN,,,2016-04-26T01:45:29,false,3,,10,,RUE,DES OUCHES,85300,SALLERTAINE,,,85280,,,,,,,,,,,,,,,,,,,2014-06-01,F,,,,,10.11Z,NAFRev2,O
304234016,00109,30423401600109,O,2006-08-01,NN,,,2016-04-26T01:45:29,false,3,,16,,RUE,LA CORNERIE,85300,CHALLANS,,,85047,,,,,,,,,,,,,,,,,,,2014-06-01,F,,,,,10.11Z,NAFRev2,O
304234024,00038,30423402400038,O,1980-11-15,NN,,,,false,4,,14,,RUE,MILTON,75009,PARIS 9,,,75109,,,,,,,,,,,,,,,,,,,1998-02-01,F,,,,,73.2Z,NAF1993,O
304234024,00046,30423402400046,O,1991-01-01,,,,,false,3,,,,,CHATEAU DE CHALMAISON,77650,CHALMAISON,,,77076,,,,,,,,,,,,,,,,,,,1993-03-31,F,,,,,74.1E,NAF1993,N
304234024,00053,30423402400053,O,1998-02-01,NN,,,2011-04-23T04:29:30,true,4,,16,,RUE,D ATHENES,75009,PARIS 9,,,75109,,,,,,,,,,,,,,,,,,,2009-05-25,F,,,,,72.20Z,NAFRev2,O
304234057,00012,30423405700012,O,1975-01-01,NN,,,,false,4,,6,,RUE,FRIESE,67000,STRASBOURG,,,67482,,,,,,,,,,,,,,,,,,,2001-06-11,F,,,,,52.2P,NAF1993,O
304234057,00020,30423405700020,O,2001-06-11,NN,,,2007-05-19T08:35:36,false,3,,8,,RUE,FRIESE,67000,STRASBOURG,,,67482,,,,,,,,,,,,,,,,,,,2005-11-24,F,,,,,52.2P,NAFRev1,O
304234057,00038,30423405700038,O,2005-11-24,NN,,,2011-04-13T06:14:04,true,2,,4,,RUE,ROHAN,67230,BENFELD,,,67028,,,,,,,,,,,,,,,,,,,2006-12-31,F,LE COIN DES GOURMANDS,,,,51.3T,NAFRev1,N
304234065,00015,30423406500015,O,1974-01-01,NN,,,2014-10-21T19:22:47,true,4,,48,,BD,CLEMENCEAU,50170,PONTORSON,,,50410,,,,,,,,,,,,,,,,,,,2001-12-25,F,,,,,50.5Z,NAF1993,N
304234073,00035,30423407300035,O,1985-09-15,,,,,true,3,,56,,RUE,LA FAYETTE,75009,PARIS 9,,,75109,,,,,,,,,,,,,,,,,,,1996-12-25,F,,,,,51.4S,NAF1993,N
304234099,00014,30423409900014,O,,NN,,,2019-11-14T14:00:39,true,1,,14,,AV,DES MAQUIS,46400,SAINT-CERE,,,46251,,,,,,,,,,,,,,,,,,,,F,,,,,48.01,NAP,N
304234131,00056,30423413100056,O,2001-11-26,NN,,,2006-11-25T09:17:07,true,3,COEUR DEFENSE TOUR A,110,,ESP,DU GENERAL DE GAULLE,92400,COURBEVOIE,,,92026,,,,,,,,,,,,,,,,,,,2004-10-15,F,,,,,71.3E,NAFRev1,N
304234149,00017,30423414900017,O,,NN,,,,true,1,,,,LD,COMBES BARTHES,46700,PUY L'EVEQUE,,,46231,,,,,,,,,,,,,,,,,,,1996-12-31,F,,,,,45.4D,NAF1993,N
304234206,00015,30423420600015,O,,,,,,true,1,,,,,PLAN PINAY MAISON CALLETTI,73300,VILLARGONDRAN,,,73320,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,55.60,NAP,N
304234214,00027,30423421400027,O,,NN,,,,true,1,,94,,BD,DE MAGENTA,75010,PARIS 10,,,75110,,,,,,,,,,,,,,,,,,,,F,,,,,79.06,NAP,N
304234255,00020,30423425500020,O,,NN,,,2019-11-14T14:00:34,true,1,,,,LD,LA BERGERIE,34700,SAINT-JEAN-DE-LA-BLAQUIERE,,,34268,,,,,,,,,,,,,,,,,,,1994-04-06,F,,,,,70.3A,NAF1993,N
304234271,00019,30423427100019,O,,NN,,,,true,1,,,,,CHATEAU DE SABAZAN,32290,SABAZAN,,,32354,,,,,,,,,,,,,,,,,,,1992-03-31,F,,,,,51.2A,NAF1993,N
304234289,00011,30423428900011,O,1900-01-01,,,,2008-01-04T19:29:07,true,4,,2,B,RUE,DU THABOR,35000,RENNES,,,35238,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,93.12Z,NAFRev2,N
304234305,00015,30423430500015,O,,NN,,,,true,1,,10,,RUE,FRANCOIS GIRARDON,31200,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,1995-12-31,F,,,,,45.3E,NAF1993,N
304234339,00014,30423433900014,O,,,,,,true,1,,,,AV,THIERS,33100,BORDEAUX,,,33063,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,59.05,NAP,N
304234347,00017,30423434700017,O,,,,,,true,1,,,,RUE,JUGAN,34000,MONTPELLIER,,,34172,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,55.60,NAP,N
304234362,00057,30423436200057,O,,NN,,,,true,1,,,,RTE,DE ST MEDARD D EYRANS,33140,CADAUJAC,,,33080,,,,,,,,,,,,,,,,,,,,F,,,,,57.10,NAP,N
304234370,00019,30423437000019,O,1900-01-01,NN,,,2008-01-04T19:29:07,true,4,CITE ADMINISTRATIVE,6,,PL,DE L ANCIEN FOIRAIL,32000,AUCH,,,32013,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,84.30A,NAFRev2,O
304234388,00037,30423438800037,O,1990-03-01,NN,,,,true,4,,23,,RUE,DES DOUVES,35600,REDON,,BP 48,35236,35601,REDON CEDEX,,,,,,,,,,,,,,,,,1998-12-31,F,,,,,67.2Z,NAF1993,O
304234412,00019,30423441200019,O,,NN,,,,true,1,,,,,LE COLLEGE VIEUX,31190,AUTERIVE,,,31033,,,,,,,,,,,,,,,,,,,,F,,,,,35.01,NAP,N
304234453,00047,30423445300047,O,1988-10-31,,,,2009-06-27T03:40:50,false,5,BT L,11,,RUE,NEUVE SAINT CHARLES,84000,AVIGNON,,,84007,,,,,,,,,,,,,,,,,,,2006-11-01,F,,,,,51.3T,NAFRev1,O
304234453,00054,30423445300054,O,2006-11-01,,,,2009-06-27T03:40:50,false,4,,27,,BD,CHARLES MORETTI,13014,MARSEILLE 14,,,13214,,,,,,,,,,,,,,,,,,,2008-01-01,F,,,,,46.38B,NAFRev2,N
304234453,00062,30423445300062,O,2007-12-01,01,2019,,2021-10-27T08:15:04,false,3,,46,,BD,KRAEMER,13014,MARSEILLE 14,,,13214,,,,,,,,,,,,,,,,,,,2021-03-31,F,,,,,46.38B,NAFRev2,O
304234453,00070,30423445300070,O,2021-03-31,,,,2021-06-03T11:40:24,true,1,VILLAGE ERO,33,,RUE,DE LA VERRERIE,84700,SORGUES,,,84129,,,,,,,,,,,,,,,,,,,2021-03-31,A,,,,,46.38B,NAFRev2,N
304234479,00018,30423447900018,O,,,,,,true,1,,3,B,BD,DE STRASBOURG,31000,TOULOUSE,,,31555,,,,,,,,,,,,,,,,,,,1986-04-01,F,,,,,87.03,NAP,N
304234495,00014,30423449500014,O,1900-01-01,,,,2008-01-04T19:29:07,true,4,,66,,RUE,JEAN JAURES,38220,VIZILLE,,,38562,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
304234503,00015,30423450300015,O,,NN,,,,true,1,,,,RTE,DE ST CLAIR,31600,LHERM,,,31299,,,,,,,,,,,,,,,,,,,,F,,,,,55.60,NAP,N
304234537,00013,30423453700013,O,,,,,,true,1,,,,RUE,DUBOURDIEU,33800,BORDEAUX,,,33063,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,,,N
