304668759,00018,30466875900018,O,,NN,,,,true,1,,,,,,63570,JUMEAUX,,,63182,,,,,,,,,,,,,,,,,,,1988-08-22,F,,,,,55.10,NAP,N
304668767,00011,30466876700011,O,,,,,,true,1,,,,RUE,LEON BLUM,62590,OIGNIES,,,62637,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.42,NAP,N
304668783,00026,30466878300026,O,,NN,,,,true,1,,76,,RUE,DE PARIS,95380,LOUVRES,,,95351,,,,,,,,,,,,,,,,,,,1992-07-06,F,,,,,70.3A,NAF1993,O
304668791,00011,30466879100011,O,,NN,,,2019-11-14T14:01:05,true,1,,99,,RUE,DES RAYONS,95430,BUTRY-SUR-OISE,,,95120,,,,,,,,,,,,,,,,,,,1993-07-01,F,,,,,29.5L,NAF1993,N
304668817,00014,30466881700014,O,,NN,,,2019-11-14T14:01:05,true,1,,6,,RUE,ROBERT WITCHITZ,94200,IVRY-SUR-SEINE,,,94041,,,,,,,,,,,,,,,,,,,,F,,,,,69.23,NAP,N
304668825,00017,30466882500017,O,1984-01-23,NN,,,2019-11-14T14:01:05,true,4,,4,,RUE,DES TILLEULS,95420,LA CHAPELLE-EN-VEXIN,,,95139,,,,,,,,,,,,,,,,,,,2007-06-30,F,,,,,45.2V,NAFRev1,O
304668833,00011,30466883300011,O,1976-01-01,NN,,,2007-10-27T08:24:53,false,4,,75,,RUE,JEAN LETIENNE,62300,LENS,,,62498,,,,,,,,,,,,,,,,,,,2006-11-01,F,,,,,51.4R,NAFRev1,O
304668833,00029,30466883300029,O,2006-11-01,01,2019,,2021-10-27T08:15:17,true,4,,69,,AV,ALFRED VAN PELT,62300,LENS,,,62498,,,,,,,,,,,,,,,,,,,2016-01-04,A,,,,PAUL,71.12B,NAFRev2,O
304668858,00018,30466885800018,O,1975-01-01,03,2019,,2021-10-27T08:15:17,false,6,V 412,33,,AV,DES CHARENTES,94150,RUNGIS,,VIANDE 412,94065,94585,RUNGIS CEDEX 2,,,,,,,,,,,,,,,,,2020-06-22,F,,,,,46.69C,NAFRev2,O
304668858,00026,30466885800026,O,2004-07-01,,,,2011-06-14T09:22:41,false,1,,67,,RUE,PARMENTIER,94310,ORLY,,,94054,,,,,,,,,,,,,,,,,,,2004-07-01,A,,,,,46.69C,NAFRev2,N
304668858,00034,30466885800034,O,2013-01-01,,,,2013-08-07T09:45:42,false,1,,1,,RUE,DE L INDUSTRIE,59127,ESNES,,,59209,,,,,,,,,,,,,,,,,,,2013-01-01,A,,,,,52.10B,NAFRev2,N
304668858,00042,30466885800042,O,2020-06-22,,,,2020-12-02T16:05:43,true,1,VIANDE 412,5,,RUE,DE LA BRESSE MIN,94550,CHEVILLY-LARUE,,,94021,94585,RUNGIS CEDEX 2,,,,,,,,,,,,,,,,,2020-06-22,A,,,,,46.69C,NAFRev2,O
304668866,00011,30466886600011,O,1975-01-01,02,2019,,2021-10-27T08:15:17,true,5,,,,,LA FONT DE L ARBRE,63870,ORCINES,,,63263,,,,,,,,,,,,,,,,,,,2010-12-31,A,,,,,16.10A,NAFRev2,O
304668874,00015,30466887400015,O,,,,,2019-11-14T14:01:05,true,1,,23,,RUE,PIERRE ET MARIE CURIE,94200,IVRY-SUR-SEINE,,,94041,,,,,,,,,,,,,,,,,,,,F,,,,,64.49,NAP,N
304668890,00011,30466889000011,O,1900-01-01,NN,,,2009-11-10T14:55:04,true,4,,,,,LONDON GREAT JAMES STREET,,,,,,,,99132,ROYAUME-UNI,,,,,,,,,,,,,,,2009-12-25,F,,,,,70.22Z,NAFRev2,N
304668890,00029,30466889000029,O,1900-01-01,NN,,,2009-11-10T14:55:04,false,4,,18,,RUE,DU PONT NEUF,75001,PARIS 1,,,75101,,,,,,,,,,,,,,,,,,,2009-12-25,F,,,,,70.22Z,NAFRev2,N
304668908,00011,30466890800011,O,,,,,,true,1,,52,,BD,DU PREMIER CHASSEUR,61000,ALENCON,,,61001,,,,,,,,,,,,,,,,,,,1995-01-13,F,,,,,01.4D,NAF1993,N
304668924,00018,30466892400018,O,,NN,,,2006-11-25T09:17:45,true,1,,1,,RUE,ABBE GREGOIRE,88500,MIRECOURT,,,88304,,,,,,,,,,,,,,,,,,,,F,,,,,79.04,NAP,N
304668932,00037,30466893200037,O,1985-11-01,NN,,,2006-11-25T09:17:45,false,4,,,,,ZI DE LA GARE,16700,RUFFEC,,,16292,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,73.1Z,NAF1993,O
304668932,00060,30466893200060,O,1995-01-01,,,,2015-05-14T04:11:46,false,5,,10,,AV,D ESTER,87280,LIMOGES,,,87085,,,,,,,,,,,,,,,,,,,2013-01-01,F,,,,,72.19Z,NAFRev2,O
304668932,00078,30466893200078,O,2013-01-01,NN,,,2019-06-24T13:15:45,true,2,ENSIL,16,,RUE,ATLANTIS,87280,LIMOGES,,,87085,,,,,,,,,,,,,,,,,,,2017-12-31,F,,,,,72.19Z,NAFRev2,N
