304958390,00045,30495839000045,O,2001-06-01,NN,,,2011-06-03T17:18:35,true,4,,37,,AV,JEAN JAURES,38600,FONTAINE,,,38169,,,,,,,,,,,,,,,,,,,2009-11-17,F,,,,,47.73Z,NAFRev2,O
304958408,00011,30495840800011,O,1983-05-19,,,,,true,3,,135,,RUE,SAINT DENIS,75002,PARIS 2,,,75102,,,,,,,,,,,,,,,,,,,2003-02-06,F,,,,,55.3B,NAFRev1,O
304958416,00014,30495841600014,O,,NN,,,,true,1,,2,,RUE,DE LONDRES,75009,PARIS 9,,,75109,,,,,,,,,,,,,,,,,,,1987-12-25,F,,,,,62.46,NAP,N
304958440,00022,30495844000022,O,1997-01-08,,,,2008-04-26T08:42:23,false,4,,990,,RTE,D'ANNECY,74370,CHARVONNEX,,,74062,,,,,,,,,,,,,,,,,,,2006-12-01,F,,,,,51.2A,NAFRev1,O
304958440,00030,30495844000030,O,2006-12-01,NN,,,2017-01-10T09:57:46,false,3,,709,,RTE,DE CHEZ LE BOIS - LES PAGAISES,74370,FILLIERE,,,74282,,,,,,,,,,,,,,,,,,,2009-01-01,F,,,,,46.21Z,NAFRev2,O
304958440,00048,30495844000048,O,2009-01-01,01,2019,,2021-10-27T08:15:24,true,1,,219,,RTE,DES VERNETS - ZAC DES MOULINS,74370,CHARVONNEX,,,74062,,,,,,,,,,,,,,,,,,,2009-01-01,A,,,,,46.21Z,NAFRev2,O
304958457,00018,30495845700018,O,,NN,,,,true,1,,,,RUE,DU MANET,74130,BONNEVILLE,,,74042,,,,,,,,,,,,,,,,,,,1989-09-30,F,,,,,64.22,NAP,N
304958465,00037,30495846500037,O,1986-10-13,,,,,false,4,,15,,RUE,BERANGER,77300,FONTAINEBLEAU,,,77186,,,,,,,,,,,,,,,,,,,1992-12-25,F,,,,,74.2C,NAF1993,N
304958465,00052,30495846500052,O,1992-07-01,NN,,,2006-10-27T00:06:21,false,4,,45,,RUE,DE FLEURY,77300,FONTAINEBLEAU,,,77186,,,,,,,,,,,,,,,,,,,2004-02-16,F,,,,,74.2C,NAFRev1,O
304958465,00060,30495846500060,O,2001-01-01,NN,,,2019-11-14T14:00:30,false,5,,,,,CAMBON SUD,30700,SANILHAC-SAGRIES,,,30308,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,71.12B,NAFRev2,O
304958465,00078,30495846500078,O,2004-02-16,NN,,,2018-09-29T12:11:04,false,3,,79,,RUE,DES CANCHES,77760,RECLOSES,,,77386,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,71.12B,NAFRev2,O
304958465,00086,30495846500086,O,2012-01-02,NN,,,2021-02-23T10:36:58,true,2,,7,,RUE,DE LA GARE,77760,LA CHAPELLE-LA-REINE,,,77088,,,,,,,,,,,,,,,,,,,2016-06-30,A,,,,,71.12B,NAFRev2,N
304958473,00015,30495847300015,O,,NN,,,,true,1,,53,,RUE,DE DUNKERQUE,75009,PARIS 9,,,75109,,,,,,,,,,,,,,,,,,,,F,,,,,87.03,NAP,N
304958481,00026,30495848100026,O,1900-01-01,NN,,,2012-07-28T10:44:10,true,4,,48,,RUE,DE RIVOLI,75004,PARIS 4,,,75104,,,,,,,,,,,,,,,,,,,2008-12-25,F,,,,,69.10Z,NAFRev2,N
304958499,00028,30495849900028,O,1900-01-01,NN,,,2014-11-07T10:28:22,false,4,,2,,RUE,DES JARDINS,74000,ANNECY,,,74010,,,,,,,,,,,,,,,,,,,1989-12-25,F,,,,,60.09,NAP,N
304958499,00036,30495849900036,O,2003-01-01,,,,2017-02-06T20:10:35,true,2,,17,,,PARC DES RAISSES,74940,ANNECY,,,74010,,,,,,,,,,,,,,,,,,,2014-08-31,F,,,,,38.32Z,NAFRev2,N
304958507,00010,30495850700010,O,1977-01-01,NN,,,2008-11-07T00:20:35,true,3,,,,,LE COLERIN,74430,LE BIOT,,,74034,,,,,,,,,,,,,,,,,,,2004-12-31,F,,,,,22.2G,NAFRev1,N
304958549,00012,30495854900012,O,,NN,,,2019-11-14T14:00:57,true,1,,,,RTE,DE BONNEVILLE,74100,VETRAZ-MONTHOUX,,,74298,,,,,,,,,,,,,,,,,,,1987-12-25,F,,,,,67.01,NAP,N
304958556,00017,30495855600017,O,,,,,,true,1,,50,,RUE,DE ROMAGNY,74100,ANNEMASSE,,,74012,,,,,,,,,,,,,,,,,,,,F,,,,,62.11,NAP,N
304958564,00011,30495856400011,O,,,,,2019-11-14T14:00:56,true,1,,,,HAM,DE TOUGUES,74140,CHENS-SUR-LEMAN,,,74070,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.08,NAP,N
304958606,00010,30495860600010,O,,NN,,,,true,1,,,,PL,DE L EGLISE,74140,YVOIRE,,,74315,,,,,,,,,,,,,,,,,,,1987-12-10,F,,,,,62.11,NAP,N
