301669677,00017,30166967700017,O,1975-01-01,NN,,,2019-11-14T14:00:38,true,4,,,,,ZI DE LA TOUCHE,44290,GUEMENE-PENFAO,,,44067,,,,,,,,,,,,,,,,,,,2003-12-31,F,,,,,28.5D,NAFRev1,O
301669685,00010,30166968500010,O,,,,,,true,1,,5,,RUE,CONDORCET,75009,PARIS 9,,,75109,,,,,,,,,,,,,,,,,,,1986-12-25,F,,,,,79.06,NAP,N
301669693,00014,30166969300014,O,1975-01-01,22,2019,,2021-10-27T08:14:06,true,5,,21,,RTE,DU PINIER,44320,CHAUVE,,,44038,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,10.71A,NAFRev2,O
301669701,00015,30166970100015,O,,NN,,,,true,1,,,,,FERME DE LA BEAUTRAIS,44170,ABBARETZ,,,44001,,,,,,,,,,,,,,,,,,,,F,,,,,01.57,NAP,N
301669719,00033,30166971900033,O,,,,,,true,1,,,,RES,,48800,POURCHARESSES,,,48117,,,,,,,,,,,,,,,,,,,1997-05-10,F,,,,,51.6G,NAF1993,N
301669735,00013,30166973500013,O,1900-01-01,NN,,,2007-05-19T08:30:49,false,4,,,,LD,ALLIVET,38140,RENAGE,,,38332,,,,,,,,,,,,,,,,,,,2006-01-01,F,,,,,21.2E,NAFRev1,O
301669735,00021,30166973500021,O,1990-11-01,,,,2019-11-14T14:00:59,false,3,PARC D ENTREPRISE,10,,RUE,PH SPAAK,77400,SAINT-THIBAULT-DES-VIGNES,,,77438,77462,LAGNY SUR MARNE CEDEX,,,,,,,,,,,,,,,,,1992-07-15,F,,,,,21.2E,NAF1993,N
301669735,00039,30166973500039,O,1992-07-15,NN,,,2019-11-14T14:00:59,false,4,ZI COMPANS,,,RUE,DES FRERES LUMIERE,77290,MITRY-MORY,,,77294,,,,,,,,,,,,,,,,,,,2005-12-31,F,,,,,74.1J,NAFRev1,O
301669735,00047,30166973500047,O,1993-04-01,NN,,,2013-05-18T02:25:37,false,7,ZONE INDUSTRIELLE LEVATEL,,,,LE LEVATEL,38140,RIVES,,,38337,,,,,,,,,,,,,,,,,,,2011-12-31,F,,,,,46.69B,NAFRev2,O
301669735,00054,30166973500054,O,2006-01-01,,,,2006-11-25T09:13:30,false,1,ZONE INDUSTRIELLE LEVATEL,,,RUE,DES EMPTES,38140,RIVES,,,38337,,,,,,,,,,,,,,,,,,,2006-01-01,F,,,,,21.2E,NAFRev1,O
301669735,00062,30166973500062,O,2009-11-01,21,2019,,2021-10-27T08:14:06,true,3,,2521,,RTE,DU TRAM,38690,COLOMBE,,,38118,,,,,,,,,,,,,,,,,,,2012-05-29,A,,,,,46.76Z,NAFRev2,O
