300674710,00029,30067471000029,O,1998-08-31,NN,,,2006-10-26T23:48:44,true,3,Z INDUST,,,,LA DAME HUGUENOTTE,52000,CHAUMONT,,BP 35,52121,,,,,,,,,,,,,,,,,,,2005-12-30,F,,,,,70.2C,NAFRev1,N
300674728,00021,30067472800021,O,1994-10-17,NN,,,2013-02-06T04:42:17,false,5,,17,,CHE,DU CAVAOU,13013,MARSEILLE 13,,,13213,,,,,,,,,,,,,,,,,,,2012-01-01,F,,,,,70.10Z,NAFRev2,N
300674728,00039,30067472800039,O,2010-11-09,,,,2021-02-23T10:35:45,true,1,,131,,CHE,DES JONQUILLES,13013,MARSEILLE 13,,,13213,,,,,,,,,,,,,,,,,,,2010-11-09,A,,,,,68.20A,NAFRev2,N
300674868,00033,30067486800033,O,1985-05-06,NN,,,,true,3,ZI DES PALUDS,11,,RUE,DU VALLAT,13400,AUBAGNE,,,13005,,,,,,,,,,,,,,,,,,,1998-12-25,F,,,,,70.2C,NAF1993,O
300674876,00010,30067487600010,O,,,,,2019-11-14T14:00:31,true,1,,,,,,32290,AVERON-BERGELLE,,,32022,,,,,,,,,,,,,,,,,,,1987-12-25,F,,,,,38.40,NAP,N
300674892,00017,30067489200017,O,,,,,,true,1,,,,RUE,STE CECILE,13005,MARSEILLE 5,,,13205,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,66.02,NAP,N
300674918,00028,30067491800028,O,1973-09-05,NN,,,2019-11-14T14:00:19,true,3,,12,,RUE,D'ITALIE,13100,AIX-EN-PROVENCE,,,13001,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20A,NAFRev2,N
300674934,00017,30067493400017,O,,,,,,true,1,,,,PL,DU CHATELET,45000,ORLEANS,,,45234,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,57.03,NAP,N
300674975,00010,30067497500010,O,,,,,,true,1,,,,AV,P VAILLANT COUTURIER,51430,TINQUEUX,,,51573,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,,,N
300674991,00017,30067499100017,O,1900-01-01,NN,,,2021-07-26T13:41:13,true,3,,4,,RUE,BONNETERIE,13002,MARSEILLE 2,,,13202,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20A,NAFRev2,N
300675006,00013,30067500600013,O,1900-01-01,NN,,,2016-04-26T01:37:07,true,4,,17,,RUE,PERIN,51100,REIMS,,,51454,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,94.99Z,NAFRev2,O
300675063,00014,30067506300014,O,1900-01-01,,,,,false,4,,8,,BD,BONIFAY,13010,MARSEILLE 10,,,13210,,,,,,,,,,,,,,,,,,,1992-12-25,F,,,,,45.2V,NAF1993,N
300675063,00022,30067506300022,O,1992-06-02,NN,,,2008-11-07T00:16:52,true,4,,6,,BD,REYNAUD DE TRETS,13010,MARSEILLE 10,,,13210,,,,,,,,,,,,,,,,,,,1998-12-02,F,,,,,45.2V,NAF1993,O
300675105,00013,30067510500013,O,,NN,,,,true,1,,8,,RUE,PEROLIERE,05000,GAP,,,05061,,,,,,,,,,,,,,,,,,,1989-02-01,F,,,,,64.14,NAP,N
300675121,00028,30067512100028,O,,,,,,true,1,,,,PL,DE LA MAZELIERE,05200,EMBRUN,,,05046,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.12,NAP,N
300675147,00015,30067514700015,O,1900-01-01,,,,2019-11-14T14:00:16,false,3,,,,,HAMEAU LA PEREUSE,08430,LAUNOIS-SUR-VENCE,,,08248,,,,,,,,,,,,,,,,,,,1997-11-25,F,,,,,28.5A,NAF1993,N
300675147,00023,30067514700023,O,2005-03-14,,,,2019-11-14T14:00:44,true,3,,,,,POSTE RESTANTE,55430,BELLEVILLE-SUR-MEUSE,,,55043,,,,,,,,,,,,,,,,,,,2008-03-22,F,,,,,43.34Z,NAFRev2,N
300675170,00017,30067517000017,O,,,,,,true,1,,,,AV,DU 159EME RIA,05100,BRIANCON,,,05023,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,87.04,NAP,N
300675196,00012,30067519600012,O,,NN,,,,true,1,,8,,RUE,PEROLIERE,05000,GAP,,,05061,,,,,,,,,,,,,,,,,,,1989-02-01,F,,,,,64.14,NAP,N
300675212,00017,30067521200017,O,,NN,,,2019-11-14T14:00:16,true,1,,5,,RUE,DE MAZY,08090,SAINT-LAURENT,,,08385,,,,,,,,,,,,,,,,,,,1999-03-31,F,,,,,45.4C,NAF1993,O
300675220,00010,30067522000010,O,,NN,,,,true,1,,39,,RUE,PAUL PAINLEVE,01130,NANTUA,,,01269,,,,,,,,,,,,,,,,,,,1988-01-31,F,,,,,62.11,NAP,N
300675261,00014,30067526100014,O,,,,,,true,1,,,,RUE,GEORGES CLEMENCEAU,06400,CANNES,,,06029,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,,,N
300675303,00014,30067530300014,O,,,,,2019-11-14T14:00:13,true,1,,,,RUE,DE NOIRMONT,02100,SAINT-QUENTIN,,,02691,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,65.03,NAP,N
300675345,00015,30067534500015,O,1974-01-01,NN,,,2008-11-07T00:16:52,true,4,LE MOULIN,,,,,10140,BOSSANCOURT,,,10050,,,,,,,,,,,,,,,,,,,2006-12-05,F,,,,,40.1A,NAFRev1,O
300675352,00011,30067535200011,O,1900-01-01,NN,,,2008-11-07T00:16:52,false,4,LA VILLAUTE,,,,LA DOIRE,06750,SERANON,,,06134,,,,,,,,,,,,,,,,,,,1998-03-31,F,,,,,15.8C,NAF1993,O
300675352,00029,30067535200029,O,1989-01-01,NN,,,2019-11-14T14:00:15,false,4,,15,,,CHEIRON,06460,SAINT-VALLIER-DE-THIEY,,,06130,,,,,,,,,,,,,,,,,,,1998-12-25,F,,,,,15.8C,NAF1993,N
300675352,00037,30067535200037,O,1998-04-01,,,,2019-11-14T14:00:15,true,4,,,,RUE,DU CHEIRON,06460,SAINT-VALLIER-DE-THIEY,,,06130,,,,,,,,,,,,,,,,,,,2009-12-25,F,,,,,10.71C,NAFRev2,N
300675360,00014,30067536000014,O,,,,,,true,1,,,,BD,PAPE JEAN XXIII,06300,NICE,,,06088,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,49.05,NAP,N
300675378,00016,30067537800016,O,,NN,,,,true,1,,,,RUE,DES FONTAINES,10210,CHAOURCE,,,10080,,,,,,,,,,,,,,,,,,,1992-12-31,F,,,,,55.1A,NAF1993,N
300675402,00055,30067540200055,O,1997-01-01,NN,,,,true,1,,28,,RUE,GABRIEL PERI,02000,LAON,,,02408,,,,,,,,,,,,,,,,,,,2000-05-25,F,,,,,55.4A,NAF1993,O
300675469,00039,30067546900039,O,1990-08-01,NN,,,2006-12-15T00:14:58,false,4,CHEZ NIC ASTRI,23,,RUE,JEAN DE RIOUFFE,06400,CANNES,,,06029,,,,,,,,,,,,,,,,,,,1993-12-25,F,,,,,45.4F,NAF1993,N
300675469,00047,30067546900047,O,1993-09-29,NN,,,2019-11-14T14:01:02,true,4,ESPACE SAINTE MAXIME ALL 6,,,PL,JEAN MERMOZ,83120,SAINTE-MAXIME,,,83115,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,45.4F,NAF1993,N
300675485,00019,30067548500019,O,,,,,2019-11-14T14:00:17,true,1,,,,,,10280,SAINT-MESMIN,,,10353,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.01,NAP,N
300675501,00013,30067550100013,O,,,,,,true,1,,,,,,02500,WIMY,,,02833,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,57.02,NAP,N
300675519,00015,30067551900015,O,1900-01-01,,,,,false,4,,,,,,04150,BANON,,,04018,,,,,,,,,,,,,,,,,,,2002-02-14,F,,,,,85.1G,NAF1993,N
300675519,00023,30067551900023,O,2002-02-14,NN,,,2012-05-05T00:41:56,true,3,,,,PL,PIERRE MARTEL,04150,BANON,,,04018,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,86.90E,NAFRev2,O
