300016607,00040,30001660700040,O,1999-10-21,NN,,4399CZ,2019-06-24T13:14:36,true,3,,15,,ALL,DES GLYCINES,17200,ROYAN,,,17306,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,43.99C,NAFRev2,O
300016615,00027,30001661500027,O,,,,,,true,1,,45,,AV,DU GRAND FIEF,17200,ROYAN,,,17306,,,,,,,,,,,,,,,,,,,1989-12-31,F,,,,,67.01,NAP,N
300016631,00016,30001663100016,O,,,,,,true,1,,,,AV,DES SEMIS,17200,ROYAN,,,17306,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,67.01,NAP,N
300016706,00024,30001670600024,O,1990-02-14,NN,,,2019-11-14T14:00:21,false,5,,45,,RUE,ALSACE LORRAINE,17430,TONNAY-CHARENTE,,,17449,,,,,,,,,,,,,,,,,,,2008-01-01,F,,,,,96.02A,NAFRev2,O
300016706,00032,30001670600032,O,2007-04-01,NN,,9602AA,2021-02-23T10:35:36,true,1,,2,,RUE,DU GENERAL KILMAINE,17430,TONNAY-CHARENTE,,,17449,,,,,,,,,,,,,,,,,,,2007-04-01,A,,,,,96.02A,NAFRev2,N
300016714,00036,30001671400036,O,1988-06-30,NN,,,2019-11-14T14:00:19,true,3,,3,,,ARCADES DU CONSULAT,12200,VILLEFRANCHE-DE-ROUERGUE,,,12300,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
300016748,00018,30001674800018,O,1975-01-01,,,,2008-01-04T19:08:26,true,4,,,,,,16310,ROUSSINES,,,16289,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
300016763,00017,30001676300017,O,,NN,,,,true,1,,17,,RUE,CLEMENT MAROT,16100,COGNAC,,,16102,,,,,,,,,,,,,,,,,,,1993-06-30,F,,,,,45.4J,NAF1993,N
300016771,00010,30001677100010,O,,NN,,,,true,1,,,,,LA REMISE,09310,VEBRE,,,09326,,,,,,,,,,,,,,,,,,,,F,,,,,65.02,NAP,N
300016805,00016,30001680500016,O,,NN,,,,true,1,,,,LD,LA CROIX DU MERLE,16430,BALZAC,,,16026,,,,,,,,,,,,,,,,,,,,F,,,,,55.73,NAP,N
300016813,00010,30001681300010,O,,NN,,,2019-01-11T13:56:46,true,1,,,,,,09220,VAL-DE-SOS,,,09334,,,,,,,,,,,,,,,,,,,,F,,,,,81.21,NAP,N
300016847,00018,30001684700018,O,,NN,,,,true,1,,5,,CAR,SAINT ETIENNE,12000,RODEZ,,,12202,,,,,,,,,,,,,,,,,,,1988-06-01,F,,,,,81.21,NAP,N
