301298923,00030,30129892300030,O,1990-09-03,NN,,,2007-08-01T11:26:51,true,3,,2,,RUE,DUPATY,17000,LA ROCHELLE,,,17300,,,,,,,,,,,,,,,,,,,2007-06-19,F,,,,,70.2C,NAFRev1,N
301298923,00048,30129892300048,O,1990-09-03,,,,,false,3,,20,,RUE,DE CHANTE ALOUETTE,17170,BENON,,,17041,,,,,,,,,,,,,,,,,,,2000-12-31,F,,,,,70.2C,NAF1993,N
301298931,00017,30129893100017,O,1969-01-01,NN,,,2019-11-14T14:00:22,true,3,,,,,,19230,SEGUR-LE-CHATEAU,,,19254,,,,,,,,,,,,,,,,,,,2004-12-31,F,,,,,45.2V,NAFRev1,N
301298949,00027,30129894900027,O,1900-01-01,NN,,,2013-02-21T12:53:40,true,7,,50,,RUE,COCHON DUVIVIER,17300,ROCHEFORT,,,17299,,,,,,,,,,,,,,,,,,,2012-12-31,F,,,,,86.22C,NAFRev2,O
301298964,00018,30129896400018,O,,NN,,,,true,1,,40,,RUE,JOURDAN,17000,LA ROCHELLE,,,17300,,,,,,,,,,,,,,,,,,,1990-02-15,F,,,,,84.12,NAP,N
301298972,00011,30129897200011,O,,,,,,true,1,,,,RUE,PIERRE BONARDI,20090,AJACCIO,,,2A004,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,55.72,NAP,N
301299004,00053,30129900400053,O,1999-07-05,,,,2011-05-04T00:10:20,true,4,,29,,RUE,DE LA MISCONDIERE,17190,SAINT GEORGES D'OLERON,,,17337,,,,,,,,,,,,,,,,,,,2010-04-15,A,,,,,90.03A,NAFRev2,N
301299038,00010,30129903800010,O,,NN,,,,true,1,,31,,RUE,ORAN,13004,MARSEILLE 4,,,13204,,,,,,,,,,,,,,,,,,,,F,,,,,67.01,NAP,N
301299046,00013,30129904600013,O,,NN,,,,true,1,,14,,QUAI,RIVE NEUVE,13001,MARSEILLE 1,,,13201,,,,,,,,,,,,,,,,,,,,F,,,,,67.01,NAP,N
301299053,00043,30129905300043,O,,NN,,,,true,1,,406,,AV,JEAN GUITON,17000,LA ROCHELLE,,,17300,,,,,,,,,,,,,,,,,,,,F,,,,,65.06,NAP,N
