303537252,00023,30353725200023,O,1997-06-05,,,,,true,1,,51,,RUE,LAKANAL,69100,VILLEURBANNE,,,69266,,,,,,,,,,,,,,,,,,,1999-12-31,F,,,,,93.0B,NAF1993,N
303537260,00018,30353726000018,O,,NN,,,,true,1,,51,,RUE,VICTOR HUGO,69002,LYON 2EME,,,69382,,,,,,,,,,,,,,,,,,,1991-05-02,F,,,,,84.12,NAP,N
303537286,00013,30353728600013,O,1900-01-01,NN,,,2007-04-20T07:57:50,true,3,,8,,RUE,SAINT SEBASTIEN,68570,SOULTZMATT,,,68318,,,,,,,,,,,,,,,,,,,2006-12-10,F,,,,,01.1G,NAFRev1,N
303537310,00078,30353731000078,O,1995-01-01,,,,2021-02-23T10:36:32,true,2,ESF AIME 2000,,,,LA PLAGNE,73210,AIME-LA-PLAGNE,,,73006,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,85.51Z,NAFRev2,N
303537328,00013,30353732800013,O,,NN,,,2019-11-14T14:00:56,true,1,,,,,LE MOLLARD,73300,ALBIEZ-MONTROND,,,73013,,,,,,,,,,,,,,,,,,,1994-07-25,F,,,,,62.11,NAP,N
303537351,00015,30353735100015,O,1900-01-01,,,,2007-01-18T09:11:09,true,3,,8,,RUE,DU BURL,68630,MITTELWIHR,,,68209,,,,,,,,,,,,,,,,,,,1994-12-25,F,,,,,01.1G,NAF1993,N
303537369,00017,30353736900017,O,,,,,2019-11-14T14:00:53,true,1,,,,RUE,PIERRE BRUNIER,69300,CALUIRE-ET-CUIRE,,,69034,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,77.07,NAP,N
303537377,00010,30353737700010,O,,,,,,true,1,,,,RUE,DE LA REPUBLIQUE,73200,ALBERTVILLE,,,73011,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.12,NAP,N
303537385,00021,30353738500021,O,1986-10-01,NN,,,2018-08-02T04:23:10,true,4,,779,,RTE,DU CRET DU MERLE,74220,LA CLUSAZ,,,74080,,,,,,,,,,,,,,,,,,,2018-08-01,F,,,,,85.51Z,NAFRev2,N
303537401,00018,30353740100018,O,,,,,,true,1,,,,LD,LA CASSINE,73200,ALBERTVILLE,,,73011,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,65.03,NAP,N
