305095341,00015,30509534100015,O,1976-01-01,NN,,,2019-11-14T14:00:35,false,5,,56,,RUE,AUCLERT DESCOTTES,36200,ARGENTON-SUR-CREUSE,,,36006,,,,,,,,,,,,,,,,,,,2003-12-25,F,,,,,51.8P,NAFRev1,O
305095341,00023,30509534100023,O,2003-04-30,NN,,,2019-11-14T14:00:35,true,3,ZI,,,,LES PLANTES DE CHABENET,36800,LE PONT-CHRETIEN-CHABENET,,,36161,,,,,,,,,,,,,,,,,,,2006-04-15,F,,,,,51.8P,NAFRev1,O
305095341,00031,30509534100031,O,2003-04-30,NN,,,2019-11-14T14:00:35,false,2,ZONE INDUSTRIELLE,,,,LES PLANTES DE CHABENET,36800,LE PONT-CHRETIEN-CHABENET,,,36161,,,,,,,,,,,,,,,,,,,2003-12-25,F,,,,,51.8P,NAFRev1,N
305095358,00027,30509535800027,O,1900-01-01,NN,,,2019-11-14T14:00:35,true,4,LA BONDONNIERE,17,,BD,DE CHINON,37300,JOUE-LES-TOURS,,,37122,,,,,,,,,,,,,,,,,,,2006-08-01,F,,,,,55.1C,NAFRev1,O
305095366,00012,30509536600012,O,1900-01-01,NN,,,,true,3,,23,,RUE,EMILE ZOLA,37000,TOURS,,,37261,,,,,,,,,,,,,,,,,,,1999-12-31,F,,,,,74.8K,NAF1993,O
305095374,00016,30509537400016,O,1900-01-01,NN,,,,false,4,,8,,RUE,DE LA MANUFACTURE,36100,ISSOUDUN,,,36088,,,,,,,,,,,,,,,,,,,1996-12-25,F,,,,,45.2V,NAF1993,O
305095374,00024,30509537400024,O,1995-12-20,11,2019,,2021-10-27T08:15:27,true,4,,9,B,AV,DE CHINAULT,36100,ISSOUDUN,,,36088,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,41.20A,NAFRev2,O
305095382,00019,30509538200019,O,1900-01-01,NN,,,2007-08-13T12:08:07,true,4,,,,LD,SCOURY,36300,CIRON,,,36053,,,,,,,,,,,,,,,,,,,2007-01-15,F,,,,,70.2C,NAFRev1,N
305095408,00012,30509540800012,O,,,,,2019-11-14T14:00:35,true,1,,,,LD,LES CHERAUDS,36190,GARGILESSE-DAMPIERRE,,,36081,,,,,,,,,,,,,,,,,,,1980-12-25,F,,,,,55.4B,NAF1993,N
305095416,00015,30509541600015,O,,,,,,true,1,,36,,PL,JEAN MOULIN,81600,GAILLAC,,,81099,,,,,,,,,,,,,,,,,,,,F,,,,,34.06,NAP,N
305095424,00019,30509542400019,O,,NN,,,2019-11-14T14:00:35,true,1,,,,RES,DES ESSARTS,36170,SAINT-BENOIT-DU-SAULT,,,36182,,,,,,,,,,,,,,,,,,,1988-12-25,F,,,,,79.04,NAP,N
305095440,00015,30509544000015,O,1900-01-01,NN,,,2008-01-04T19:34:02,true,3,,41,,RUE,DE LA XAVEE,88200,REMIREMONT,,,88383,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,93.12Z,NAFRev2,N
305095457,00019,30509545700019,O,1900-01-01,,,,,true,3,,39,,RUE,DE L UNIVERSITE,34000,MONTPELLIER,,,34172,,,,,,,,,,,,,,,,,,,1993-12-25,F,,,,,91.3E,NAF1993,N
305095507,00011,30509550700011,O,1976-01-01,NN,,,2008-11-07T00:20:47,false,4,,,,CHE,DU MAS DE CHAMBON,34400,LUNEL,,BP 95,34145,34401,LUNEL CEDEX,,,,,,,,,,,,,,,,,1996-12-25,F,,,,,45.4J,NAF1993,O
305095507,00029,30509550700029,O,1995-01-01,NN,,,2019-11-14T14:00:34,true,4,ZAC,34,,RUE,DES ARAMONS,34400,SAINT-JUST,,,34272,,,,,,,,,,,,,,,,,,,2012-12-31,F,,,,,43.34Z,NAFRev2,O
305095515,00014,30509551500014,O,,,,,,true,1,,8,,RUE,MARCELLIN TRUQUIN,80800,CORBIE,,,80212,,,,,,,,,,,,,,,,,,,1987-10-01,F,,,,,52.4V,NAF1993,N
305095523,00018,30509552300018,O,,NN,,,,true,1,,,,LD,RIPAILLE,86120,BOURNAND,,,86036,,,,,,,,,,,,,,,,,,,1988-12-25,F,,,,,01.80,NAP,N
305095531,00011,30509553100011,O,1976-01-01,NN,,,,true,1,,83,,BD,DE LA REPUBLIQUE,47000,AGEN,,,47001,,,,,,,,,,,,,,,,,,,1998-05-30,F,,,,,52.4A,NAF1993,O
